2014-12-01,"MySQL",1268.58
2015-01-01,"MySQL",1277.51
2015-02-01,"MySQL",1272.451
2015-03-01,"MySQL",1261.092
2015-04-01,"MySQL",1284.579
2015-05-01,"MySQL",1294.264
2015-06-01,"MySQL",1278.357
2015-07-01,"MySQL",1283.335
2015-08-01,"MySQL",1292.03
2015-09-01,"MySQL",1277.745
2015-10-01,"MySQL",1278.958
2015-11-01,"MySQL",1286.843
2015-12-01,"MySQL",1298.538
2016-01-01,"MySQL",1299.26
2016-02-01,"MySQL",1321.125
2016-03-01,"MySQL",1347.714
2016-04-01,"MySQL",1370.107
2016-05-01,"MySQL",1371.826
2016-06-01,"MySQL",1370.134
2016-07-01,"MySQL",1363.287
2016-08-01,"MySQL",1357.032
2016-09-01,"MySQL",1354.026
2016-10-01,"MySQL",1362.647
2016-11-01,"MySQL",1373.557
2016-12-01,"MySQL",1374.406
2017-01-01,"MySQL",1366.287
2017-02-01,"MySQL",1380.302
2017-03-01,"MySQL",1376.075
2017-04-01,"MySQL",1364.62
2017-05-01,"MySQL",1340.025
2017-06-01,"MySQL",1345.307
2017-07-01,"MySQL",1349.107
2017-08-01,"MySQL",1340.298
2017-09-01,"MySQL",1312.612
2017-10-01,"MySQL",1298.829
2017-11-01,"MySQL",1322.029
2017-12-01,"MySQL",1318.069
2018-01-01,"MySQL",1299.708
2018-02-01,"MySQL",1252.471
2018-03-01,"MySQL",1228.867
2018-04-01,"MySQL",1226.402
2018-05-01,"MySQL",1223.339
2018-06-01,"MySQL",1233.688
2018-07-01,"MySQL",1196.069
2018-08-01,"MySQL",1206.812
2018-09-01,"MySQL",1180.479
2018-10-01,"MySQL",1178.116
2018-11-01,"MySQL",1159.892
2018-12-01,"MySQL",1161.248
2019-01-01,"MySQL",1154.267
2019-02-01,"MySQL",1167.29
2019-03-01,"MySQL",1198.249
2019-04-01,"MySQL",1215.138
2019-05-01,"MySQL",1218.962
2019-06-01,"MySQL",1223.629
2019-07-01,"MySQL",1229.522
2019-08-01,"MySQL",1253.684
2019-09-01,"MySQL",1279.074
2019-10-01,"MySQL",1283.061
2019-11-01,"MySQL",1266.283
2019-12-01,"MySQL",1275.667
2020-01-01,"MySQL",1274.654
2020-02-01,"MySQL",1267.65
2020-03-01,"MySQL",1259.73
2020-04-01,"MySQL",1268.349
2020-05-01,"MySQL",1282.637
2020-06-01,"MySQL",1277.886
2020-07-01,"MySQL",1268.508
2020-08-01,"MySQL",1261.573
2020-09-01,"MySQL",1264.246
2020-10-01,"MySQL",1256.375
2020-11-01,"MySQL",1241.64
2020-12-01,"MySQL",1255.454
2021-01-01,"MySQL",1252.058
2021-02-01,"MySQL",1243.369
2021-03-01,"MySQL",1254.826
2021-04-01,"MySQL",1220.688
2021-05-01,"MySQL",1236.377
