新手流行度(%),PostgreSQL,MySQL,SQLite,SQL Server,MongoDB,Redis,MariaDB,Elasticsearch,Oracle,DynamoDB,Firebase,Firestore,Cassandra,Neo4J,IBM DB2,CouchDB,Couchbase
2022/1/1,23.38,45.71,26.93,12.41,28.15,5.15,12.34,1.62,6.88,1.19,8.38,6.75,0.99,1.42,0.61,0.58,0.36
2023/1/1,25.54,58.4,30.41,16.34,31.32,5.55,14.3,1.54,10.84,1.59,11.56,8.59,1.59,1.43,1.22,0.68,0.87
